class name,coverage
VisitaBeforeInsertUpdate_AR,0
Total Org Coverage,26.83
ReceiptBeforeInsertUpdateDelete_AR,0
RateioROI_RecalculaContrato,0
ProdutosOportunidadeVerificaCotaExistente,0
ProdutosOportunidadeAtualizaDataEntrega,0
ProdutoConcorrenciaCopiaPrecoProdPernod,0
PlanejamentoVisitasCriaVisitas,0
PlanejamentoFechaTarefaRelacionada,0
PlanejamentoCriaCompromissos,0
PlanejamentoBeforeInsertUpdate_AR,0
PlanejamentoAtribuiKam,0
PagamentoVerbaValidaDA,0
PagamentoVerbaPreencheAccount,0
PagamentoIntegracao,0
PagamentoDeletaPV,0
OpportunityLineItemAfterUpdate_AR,0
OpportunityBeforeInsert_AR,0
OpportunityAfterUpdate_AR,0
Oportunidade_MarcaCodigoAcaoCancelado,0
OportunidadeEnviaAprovCancelamento,NaN
OportunidadeAtualizaDataEntrega,0
LAT_MX_AccountBefore,10.53
LAT_MX_AccountAfter,25
LAT_LATAccountAfter,100
LAT_ClientWorkHoursAfter,100
LAT_BR_ProdutoPRConcorrenciaBeforeInsertUpdateDelete,0
LAT_BR_PlanejamentoBeforeInsertUpdate,0
LAT_BR_OpportunityProductAfter,0
LAT_BR_OpportunityBefore,0
LAT_BR_CaseBeforeInsertUpdate,0
LAT_BR_AccountAfterInsertUpdate,100
InvestBonifPagtoROI_RecalculaContrato,0
InvestBonifPagtoROI,0
InvestBonifPagtoAtualizaConta,0
IBPValidaContratoAtivo,0
IBPAtualizaAgrupamento,0
EUR_CRM_VolumeCardTrigger,0
EUR_CRM_ProsSegmentationTrigger,0
EUR_CRM_CriteriaThresholdTrigger,0
EUR_CRM_CriteriaAnswerTrigger,0
ESN_User_AutojoinByAffiliates,50.6
ESNProjectTrigger,0
DocumentBeforeInsertUpdateDelete_AR,0
DistribuicaoValoresBloqueiaMesmaData,0
CriterioRegionalCotaVerificaUnicidade,0
CriterioNacionalCotaVerificaSKU,0
CriaCriterioRegional,0
CriaCotaRegional,0
CotaRegionalVerificaUnicidade,0
CotaNacionaVerificaUnicidade,0
ContratoROI,0
ContratoMarcaPrimeiroPagamento,0
ContratoCriarAgrupamentoFiscal,0
ContratoCopiaIdGerenteRegionalArea,0
ContratoCancelado,0
ContratoAutomatizaEnvioAprovacao,0
ContratoAprovado,0
ContractReservaIBP,0
Conta_valida_Inscricao_Estadual,57.14
ContaCriaDemanda,53.19
ContaCopiaIdGerenteRegionalArea,75.57
ContaAutomatizaEnvioAprovacao,97.7
ClasulaContratoBloqueiaDelecao,0
ChecklistVisitaExecucoes,0
ChatterEmailSettings,100
CasoTratamento,0
CasoReservaIBP,0
CasoCopiaTipoDeVerba_ParaIBPAgrupFiscal,0
CasoCopiaIdGerenteRegionalArea,0
CasoCopiaDA_ParaAgrupamentoFiscal,0
CasoCancelaContrato,0
CasoAtualizaCamposContrato,0
CaseBeforeInsertUpdate_AR,0
CaseAfterInsertUpdate_AR,0
BRContratoDeleteAgrupamentos,0
Autofollow_User_InsertUpdate,90.91
AutoJoin_User_InsertUpdate,83.87
AnexoContarParaPagto,78.95
AgrupamentoValidaContratoAtivo,0
AccountBeforeInsertUpdate_BR,100
AccountBeforeInsertUpdate_AR,27.27
AccountAfterInsertUpdate_AR,42.86
ASI_TnE_ClaimHeaderBeforeUpdate,NaN
ASI_TnE_ClaimHeaderBeforeInsert,NaN
ASI_TnE_ClaimDetail_BeforeUpdate,63.33
ASI_TnE_ClaimDetail_BeforeInsert,65.52
ASI_TnE_ClaimDetail_AfterInsert,87.5
ASI_MFM_Plan_BeforeUpdate,0
ASI_MFM_Plan_BeforeInsert,0
ASI_MFM_Plan_AfterUpdate,0
ASI_MFM_Plan_AfterInsert,0
ASI_MFM_Payment_AfterUpdate,0
ASI_MFM_Payment_AfterInsert,0
ASI_MFM_Payment_AfterDelete,0
ASI_MFM_PaymentLineItem_BeforeUpdate,0
ASI_MFM_PaymentLineItem_BeforeInsert,0
ASI_MFM_PaymentLineItem_BeforeDelete,0
ASI_MFM_PaymentLineItem_AfterUpdate,0
ASI_MFM_PaymentLineItem_AfterInsert,0
ASI_MFM_PaymentLineItem_AfterDelete,0
ASI_MFM_PO_BeforeUpdate,0
ASI_MFM_PO_BeforeInsert,0
ASI_MFM_PO_BeforeDelete,0
ASI_MFM_PO_AfterUpdate,0
ASI_MFM_PO_AfterInsert,0
ASI_MFM_PO_AfterDelete,0
ASI_MFM_POLineItem_BeforeUpdate,0
ASI_MFM_POLineItem_BeforeInsert,0
ASI_MFM_POLineItem_BeforeDelete,0
ASI_MFM_POLineItem_AfterUpdate,0
ASI_MFM_POLineItem_AfterInsert,0
ASI_MFM_POLineItem_AfterDelete,0
ASI_Luxury_Account_Account_BeforeDelete,93.75
ASI_Luxury_Account_Account_AfterUpdate,90.48
ASI_Luxury_Account_Account_AfterInsert,100
ASI_LUX_AccountBeforeUpdateApproved,23.81
ASI_KOR_VisitationPlanDetail_AfterUpdate,0
ASI_KOR_VisitationPlanDetail_AfterUndelete,0
ASI_KOR_VisitationPlanDetail_AfterInsert,100
ASI_KOR_SalesOrderRequest_BeforeUpdate,100
ASI_KOR_SalesOrderRequestTransaction_BeforeUpdate,100
ASI_KOR_SalesOrderRequestTransaction_BeforeDelete,100
ASI_KOR_SR_Proposal_Header_BeforeInsert,0
ASI_KOR_SR_Payment_Settlement_Header_AfterInsert,0
ASI_KOR_ProductDocument_AfterDelete,0
ASI_KOR_ItemGroupDocument_AfterDelete,0
ASI_KOR_GMAImage_AfterDelete,0
ASI_KOR_Contact_AfterUpdate,100
ASI_KOR_Contact_AfterUndelete,0
ASI_KOR_Contact_AfterInsert,100
ASI_KOR_Contact_AfterDelete,0
ASI_KOR_ContactDocument_AfterDelete,0
ASI_KOR_BrandDocument_AfterDelete,0
ASI_KOR_Account_BeforeUpdate,100
ASI_KOR_Account_AfterUpdate,100
ASI_KOR_Account_AfterInsert,100
ASI_KOR_AccountDocument_AfterDelete,0
ASI_HK_CRM_VisitationPlanDetail_BeforeDelete,100
ASI_HK_CRM_VisitationPlanDetail_AfterUpdate,100
ASI_HK_CRM_VisitationPlanDetail_AfterUndelete,0
ASI_HK_CRM_VisitationPlanDetail_AfterInsert,100
ASI_HK_CRM_Sales_Order_Item_AfterUpdate,0
ASI_HK_CRM_Sales_Order_Item_AfterInsert,0
ASI_HK_CRM_Sales_Order_Item_AfterDelete,0
ASI_HK_CRM_SalesOrder_BeforeUpdate,0
ASI_HK_CRM_SalesOrder_BeforeInsert,0
ASI_HK_CRM_SalesOrder_AfterUpdate,0
ASI_HK_CRM_SalesOrder_AfterUndelete,0
ASI_HK_CRM_PreApprovalForm_BeforeUpdate,0
ASI_HK_CRM_PreApprovalForm_BeforeInsert,0
ASI_HK_CRM_PreApprovalFormItem_BeforeUpdate,0
ASI_HK_CRM_PreApprovalFormItem_BeforeInsert,0
ASI_HK_CRM_PreApprovalFormItem_AfterUpdate,0
ASI_HK_CRM_PreApprovalFormItem_AfterUndelete,0
ASI_HK_CRM_PreApprovalFormItem_AfterInsert,0
ASI_HK_CRM_PreApprovalFormItem_AfterDelete,0
ASI_HK_CRM_Contact_AfterUpdate,100
ASI_HK_CRM_Contact_AfterUndelete,0
ASI_HK_CRM_Contact_AfterInsert,100
ASI_HK_CRM_Contact_AfterDelete,0
ASI_HK_CRM_Account_BeforeUpdate,75
ASI_HK_CRM_Account_BeforeInsert,90
ASI_GiftBox_RequestItemBeforeUpdate,0
ASI_GiftBox_RequestItemBeforeInsert,0
ASI_GiftBox_RequestItemBeforeDelete,0
ASI_GiftBox_RequestItemAfterUpdate,0
ASI_GiftBox_RequestItemAfterInsert,0
ASI_GiftBox_RequestHeaderBeforeUpdate,0
ASI_GiftBox_OrderItemBeforeInsert,0
ASI_GiftBox_GoodReceiptAfterInsert,0
ASI_FOC_Request_Item_BeforeUpdate,71.43
ASI_FOC_Request_Item_BeforeInsert,71.43
ASI_FOC_Request_Item_AfterUpdate,77.78
ASI_FOC_Request_Item_AfterInsert,77.78
ASI_FOC_Free_Goods_Request_BeforeUpdate,55.56
ASI_FOC_Free_Goods_Request_BeforeInsert,41.67
ASI_FOC_Free_Goods_Request_AfterUpdate,72.73
ASI_FOC_Free_Goods_Request_AfterDelete,50
ASI_CRM_TestClassUtilityHelperPROS,90.31
ASI_CN_NPL_ProductDocument_AfterDelete,100
ASI_CN_NPL_NewProductLaunchRequest_BeforeUpdate,100
ASI_CN_NPL_NewProductLaunchRequest_BeforeInsert,100
ASI_CN_NPL_NewProductLaunchRequest_AfterUpdate,92.86
ASI_CN_NPL_NewProductLaunchRequest_AfterInsert,100
